timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Elias P.K. Mandala (EM),"Here am chatting with Mr. Matumula Mamu. He was born in 1950. He travelled first in 1971 to 1973 under WNLA. Thereafter he travelled under TEBA till in 1988. Wow, basically he has been there since 1971 to 1988. So, tell me, what it was like after 2 years of your contract. Were you renewing while in South Africa?",,,,
,Matumula Mamu (MM),"No, we used to renew when we came back by doing the same things we used to do, all the processes. They gave us a month to renew our contract back home.",,,,
,EM,Is that so? Was that with WNLA and Theba?,,,,
,MM,"Both WNA and Teba had similar processes. They gave us one month of a rest before we went back to the mines.",,,,
,EM,"ok let me take the pictures of the document you have so far.So, in 1971, what drove you to South Africa?",,,,
,MM,"The journey was driven by huge levels of poverty within my family.",,,,
,EM,"Can you explain or expound more?",,,,
,MM," Well, you see, I was not educated and then I was growing up. I needed to go to South Africa to make sure I can make some money to take care my family.",,,,
,EM,"Oh okay. So, what was the general process for you to obtain the contract and thereafter you travel to South Africa?",,,,
,MM,"First we were going to register interest to go to WNLA at Labour Office. There they used to send to our Traditional Authority, Mpondasi. The T/A was to sign and stamp our forms. Thereafter, we were going back to the Labour Office. At labour office, they used to measure our height, weight. Then, they were sending us to Ngumbe, in Blantyre.",,,,
,EM,"Ngumbi in Blantyre?",,,,
,MM,"Yes, in Blantyre along Lunzu Road.",,,,
,EM,"Did they have a big house?",,,,
,MM,"Yes, they used to keep us there",,,,
,EM,"So, were they feeding you well there?",,,,
,MM,"Yes, they fed us well. They served meals and teas timely. They looked after us well.",,,,
,EM,"So how long were they keep you there? Before your eventual departure to South Africa?",,,,
,MM,"At least one week. They wanted to have us taken vaccines, and other health precautions.",,,,
,EM,"What were these vaccines about? Like of polio?",,,,
,MM,"I am not sure, they knew themselves",,,,
,EM,"So, after one week at Ngumbe, and all vaccines done, where were you going next?",,,,
,MM,"We were heading to Mzilikazi.",,,,
,EM,"Oh, Mzilikazi in South Africa?",,,,
,MM,"Yes.",,,,
,EM,"what was the mode of transport?",,,,
,MM,"We were flying. By airplane straight to Botswana",,,,
,EM,"So, you were flying?",,,,
,MM,"Yes. Under WNLA we flew to Botswana and there we connected with train to Johannesburg. While under Teba, we flew direct to South Africa. ",,,,
,EM,"Wow! That was good. So, you left Malawi, to Botswana, then to Mzilikazi in South Africa, how were they welcoming you? What happened later?",,,,
,MM,"They gave us first class welcome. They gave us food, accommodation and thereafter, seeing the doctor for health examinations. Then, they would allocate you the mine to work",,,,
,EM,"Oh, so while leaving Malawi, you did not know what mine you are going to be working on?",,,,
,MM,"No, we didn’t know. But while at Mzilikazi, you were allocated one",,,,
,EM,"Now that you arrived at the allocated mine, were they putting you into a house or dormitory?",,,,
,MM,"Into a house",,,,
,EM,"Were you staying alone?",,,,
,MM,"No, with others, like secondary school birds, one down and another up.",,,,
,EM,"Oh, just like in a hostel?",,,,
,MM,"Yes, yes.",,,,
,EM,"What about food? Were you cooking for yourselves?",,,,
,MM,"Actually, they cooked for us. The food was very good, in good amounts. Even if you felt not enough you could go and receive extra food.",,,,
,EM,"Oh, really? That’s good.",,,,
,MM,"They really took a good care of us. We had no problem with them at all",,,,
,EM,"That’s good to know. So, you are now at the designated mine, what was the first thing that you were introduced to?",,,,
,MM,"We were first introduced to the doctor to check whether we are sick or not. In case the doctors back home (Malawi) lied about my health. So, it was like three doctors in the process. At Ngumbe back in Blantyre, at Mzilikazi and at the mine itself.",,,,
,EM,"So, doctor’s tests what next?",,,,
,MM,"They would send us to the school mine. There we were introduced to the mine language, called, Fanakalo.",,,,
,EM,"Oh okay. So, they were very organized. Very procedural.",,,,
,MM,"Yes. This language helped us communicate to each other in the mines",,,,
,EM,"So, how long would that course take?",,,,
,MM,"It took a week",,,,,
,EM,"So, in a week, you would really know the language?",,,,
,MM,"Not really. The issue is, after a week they assumed we have the basic language principle and the rest we would learn while in the mines. That was good and helpful.",,,,
,EM,"So, you are back in the mine. Ready for the work. What was the next step?",,,,
,MM,"Shosholoza.",,,,
,EM,"What was that?",,,,
,MM,"That was the fitness. You were noticed and placed on a number depending on your physique",,,,
,EM,"Oh, physical exercise?",,,,
,MM,"Yes. The doctors would give your energy booster tablets, panados, etc. This process helped them locate on work platform. If you are too strong you could be assigned deep inside the mines, and the weak ones would not be allowed work inside rather they were given easy work outside the mines",,,,
,EM,"So, the exercise was safe the weak from the strong and putting them in their respect positions in the mines?",,,,
,MM,"Yes. This is the last exercise. Thereafter, you are now starting your work in the mine. Loafing time is ever.",,,,
,EM,"Taking you back, before you decided to come to South Africa, did you have a relation in the mines anywhere in South Africa?",,,,
,MM,"No, I knew no one. I just decided to come over and make money for my family too.",,,,
,EM,"Is that so?",,,,
,MM,"Yes Sir. All Malawians were posted to different mines at Mzilikazi.",,,,
,EM,"When you decided to leave for South Africa to work in mines, how did your family take it? Did they accept it?",,,,
,MM,"Yes, they did welcome the idea and had no issue. They knew if I leave, I was going to change my life",,,,
,EM,"So, was there a time you wanted to get these paper works at labor office where you had to bribe the officers?",,,,
,MM,"No ways, there was no need. Unlike today, then there was no corruption. Officers would report you to the authority",,,,
,EM,"Wow! There was clean business all round. So, after the Shosholoza (exercise) where were you placed, inside or outside?",,,,
,MM,"I was placed deep inside. We took lifts and inside we also took a train to arrive at the position I was placed. It was dark and we used headlamps",,,,
,EM,"Wow! Really deep. Did you enjoy your work?",,,,
,MM,"I had too as I did not have any choice.",,,,
,EM,"So, while deep down the mines, what was your experience?",,,,
,MM,"It was fine, always on a helmet and head lamp for me to see. We also carried food warmers for food when I felt like hungry. It was indeed good food.",,,,
,EM,"Tell me when you arrived at your mine. Did you meet someone from Malawi that you knew?",,,,
,MM,"Oh yes, I met a few people that I knew from my area.",,,,
,EM,"Were there some relatives?",,,,
,MM,"Yes, I did meet some relations.",,,,
,EM,"Oh, great stuff. And while in the mines what language were you using?",,,,
,MM,"We used Fanakalo, the one we learnt at the mine school when we arrived.",,,,
,EM,"Oh yes! Fanakalo.",,,,
,MM,"Yes, all people from Angola, Congo, Malawi, Mozambique we communicated through fanakalo.",,,,
,EM,"What was your relationship with workers of other nations, mentioned above?",,,,
,MM,"We had great relationship. The managers used to bring us together in the hall, to explain to us that we need to be united, we are one people with one goal. Hence, they encouraged us to be united and work together.",,,,
,EM,"Wow! That was nice. While working in the mine, was there a time you felt like giving up on your contract and think of walking outside and seek new job opportunities due to bad working conditions, hard work in the mines, sickness and or low income?",,,,
,MM,"When you got sick, they called for an ambulance for you to get medical attention at the hospital.",,,,
,EM,"Did you ever get sick while there? What was the disease?",,,,
